created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
09/14/2015,222151,229936,POINT (-73.95854719958994 40.62517484752415),32,0,OnCurb,Alive,Good,Quercus velutina,black oak,1or2,Helpful,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1046 EAST 18 STREET,11230,Brooklyn,314,3,Brooklyn,44,48,17,BK43,Midwood,3053200,New York,40.62517485,-73.9585472,995756.966804,167047.156441
08/26/2015,177345,338900,POINT (-73.79741871389842 40.59525651714973),3,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,515 BEACH 68 STREET,11692,Arverne,414,4,Queens,31,31,10,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.59525652,-73.79741871,1040510.10925,156209.463222
09/05/2015,204771,344202,POINT (-73.90198228201075 40.69530833604127),0,13,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,1625 SUMMERFIELD STREET,11385,Ridgewood,405,4,Queens,34,38,12,QN20,Ridgewood,4055900,New York,40.69530834,-73.90198228,1011430.34097,192611.233594
08/26/2015,178192,223402,POINT (-73.97832565656917 40.674714586733096),0,40,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,225 6 AVENUE,11215,Brooklyn,306,3,Brooklyn,39,52,20,BK37,Park Slope-Gowanus,3015700,New York,40.67471459,-73.97832566,990262.159224,185093.869363
08/25/2015,175268,217428,POINT (-73.96257431160373 40.708838372899756),6,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,882 DRIGGS AVENUE,11211,Brooklyn,301,3,Brooklyn,33,50,26,BK73,North Side-South Side,3054700,New York,40.70883837,-73.96257431,994626.049774,197527.639443
09/05/2015,204348,106848,POINT (-73.97300303447196 40.79866516891358),4,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,Harmful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,327 WEST 100 STREET,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1018700,New York,40.79866517,-73.97300303,991724.662204,230253.391249
08/30/2015,189608,219531,POINT (-73.96610506220642 40.694700448468886),3,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,101 HALL STREET,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK69,Clinton Hill,3019100,New York,40.69470045,-73.96610506,993649.163276,192376.373827
09/08/2015,210582,504028,POINT (-73.90436983998191 40.84740763133873),5,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,265 EAST 176 STREET,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2023302,New York,40.84740763,-73.90436984,1010707.77417,248025.331755
09/02/2015,198835,224326,POINT (-73.99741554203827 40.68623846706039),21,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,6 STRONG PLACE,11231,Brooklyn,306,3,Brooklyn,39,52,26,BK33,Carroll Gardens-Columbia Street-Red Hook,3006700,New York,40.68623847,-73.99741554,984966.768568,189291.618186
08/28/2015,182424,413384,POINT (-74.17082910279129 40.555885078411755),17,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,50 PERKIOMEN AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017012,New York,40.55588508,-74.1708291,936780.001752,141846.704546
